goos: linux
goarch: amd64
pkg: rsc.io/tmp/rsort
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  94913551 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  94712050 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  98982542 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  99175936 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  98870834 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  98133584 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  97146637 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      13	  94317400 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  97660634 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortWithTmp-32         	      12	  94932476 ns/op	         2.968 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 204858572 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 208219872 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 201157672 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 195490861 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 195961393 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 197819021 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 209242636 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 199220773 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 201057761 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=sortInPlace-32         	       6	 205087845 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 286939724 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 281692706 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 275501124 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 278100733 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 270713082 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 286666891 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 272713437 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 277551596 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 275572396 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=8/alg=slices.Sort-32         	       4	 278024043 ns/op	         2.968 depth/op	       0 B/op	       0 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      14	  82913287 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
BenchmarkRandom/n=1048576/len=512/e=7/alg=sortWithTmp-32         	      14	  79372811 ns/op	         3.199 depth/op	16777216 B/op	       1 allocs/op
